inscription_id,meta_name,meta_trait,high_res_img_url,collection_page_img_url
c45d6897f05201ed6309dd6dd36ac66c8a062e2b2c3e43242f25fcfe3e405c20i0,100043.bitnats,0x12,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x12.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
70ead7f9af5fb7eec78915ddec74fcc4b994fc01c0c510484a00a01a1b9f0975i0,100044.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
6a9d589cc72653bc375f86bbdd61cb32997338e9cb3c4022e6da81c45b42f143i0,100045.bitnats,0x12,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x12.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
26d1126471c4d8c75291ff5fb7c47bcdb6eab346a236868e0e2509576b09f9fei0,100046.bitnats,0x12,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x12.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
f50c75b587ec7f95f6c7a7cdc908cfd428e55653aadee0d12bba3a1f37134a2fi0,100047.bitnats,0x12,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x12.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
6cd54bb013016f1c9e26c0a878f845babb444bf2b837890edb5c12b65180e31ci0,100048.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
61cd6b959b9daf9915fb813fcbfb3d703bdc8168515df1685bfa8005b4788eaai0,100049.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
65d6e958244eee4d195f446b06b0c7a5d92a5472d47e6425ae2cbd6460fe2ea0i0,100050.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
161dff3d3295e42f7bb12a7d264e54c7b71ddaecd32d495d4b5580a888c45eeai0,100051.bitnats,0x12,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x12.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
5ec6a4f34a784e074151f5cf6019764af72e61c4fe8c4fc40556375666ab7090i0,100052.bitnats,0x13,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x13.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
5975fffa50f1f0258baebefb2e6420982b88e71da7666bfbe7bbb0345de1dddai0,100053.bitnats,0x12,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x12.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
cbc1ef27ab8857ac63fcd57239d74f4869b8ce5a47bc0d51e67848dd55db914ei0,100054.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
